"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2020","842.92","849.06","850.37","841.28","-","-0.70%"
"Oct 29, 2020","848.85","864.80","864.80","840.76","-","-1.88%"
"Oct 27, 2020","865.12","860.27","868.11","860.27","-","0.56%"
"Oct 26, 2020","860.27","863.10","864.12","857.21","-","-0.33%"
"Oct 23, 2020","863.10","858.48","865.75","855.32","-","0.62%"
"Oct 22, 2020","857.82","857.03","864.95","851.44","-","0.01%"
"Oct 21, 2020","857.71","870.08","873.94","857.71","-","-1.42%"
"Oct 20, 2020","870.08","871.99","873.10","866.98","-","-0.24%"
"Oct 19, 2020","872.20","867.08","875.33","866.98","-","0.59%"
"Oct 16, 2020","867.08","855.01","868.71","855.01","-","1.36%"
"Oct 15, 2020","855.46","872.57","872.57","850.63","-","-2.00%"
"Oct 14, 2020","872.94","868.44","875.75","867.91","-","0.57%"
"Oct 13, 2020","868.03","870.27","870.27","865.94","-","-0.26%"
"Oct 12, 2020","870.27","872.50","873.16","867.25","-","-0.26%"
"Oct 09, 2020","872.50","875.19","877.07","872.42","-","-0.25%"
"Oct 08, 2020","874.68","874.58","874.78","871.04","-","0.17%"
"Oct 07, 2020","873.18","872.61","876.69","869.07","-","-0.13%"
"Oct 06, 2020","874.33","863.78","874.33","863.78","-","1.32%"
"Oct 05, 2020","862.93","858.11","864.25","858.11","-","0.61%"
"Oct 02, 2020","857.72","859.65","862.84","854.35","-","-0.16%"
"Oct 01, 2020","859.11","868.33","871.44","857.13","-","-1.06%"
"Sep 30, 2020","868.33","864.28","869.35","861.22","-","0.70%"
"Sep 29, 2020","862.28","863.66","873.74","862.28","-","-0.19%"
"Sep 25, 2020","863.93","863.09","867.62","860.18","-","0.10%"
"Sep 24, 2020","863.09","861.69","863.49","856.77","-","0.16%"
"Sep 23, 2020","861.69","868.53","873.37","861.29","-","-0.73%"
"Sep 22, 2020","868.05","860.45","872.16","859.82","-","0.72%"
"Sep 21, 2020","861.87","873.14","876.02","854.78","-","-1.35%"
"Sep 18, 2020","873.66","883.45","886.60","871.67","-","-1.13%"
"Sep 17, 2020","883.63","893.52","894.07","882.07","-","-1.11%"
"Sep 16, 2020","893.54","898.72","901.36","892.90","-","-0.53%"
"Sep 15, 2020","898.33","898.71","903.70","896.36","-","-0.04%"
"Sep 14, 2020","898.70","896.72","901.02","896.33","-","0.10%"
"Sep 11, 2020","897.77","904.16","904.53","894.74","-","-0.76%"
"Sep 10, 2020","904.69","900.74","906.20","900.09","-","0.45%"
"Sep 09, 2020","900.68","903.55","906.13","898.68","-","-0.33%"
"Sep 08, 2020","903.66","910.67","914.00","901.58","-","-0.61%"
"Sep 07, 2020","909.17","902.49","912.60","902.00","-","0.73%"
"Sep 04, 2020","902.62","901.76","908.89","891.42","-","0.10%"
"Sep 03, 2020","901.76","902.15","910.58","901.76","-","0.03%"
"Sep 02, 2020","901.48","903.81","912.74","901.22","-","-0.20%"
"Sep 01, 2020","903.33","903.49","907.54","899.32","-","-0.02%"
"Aug 31, 2020","903.49","908.47","912.85","903.49","-","-0.51%"
"Aug 28, 2020","908.09","903.88","909.95","897.90","-","0.47%"
"Aug 27, 2020","903.88","908.68","912.64","903.79","-","-0.52%"
"Aug 26, 2020","908.57","909.41","913.04","906.47","-","-0.05%"
"Aug 25, 2020","909.05","900.21","914.94","900.21","-","1.01%"
"Aug 24, 2020","899.94","898.71","903.68","898.15","-","0.36%"
"Aug 21, 2020","896.70","887.96","899.16","887.61","-","0.87%"
"Aug 20, 2020","889.01","896.91","898.03","885.31","-","-0.94%"
"Aug 19, 2020","897.45","905.24","907.51","897.23","-","-0.75%"
"Aug 18, 2020","904.25","910.82","911.96","902.88","-","-0.74%"
"Aug 17, 2020","911.00","913.06","916.30","909.47","-","-0.23%"
"Aug 14, 2020","913.06","916.86","919.97","908.71","-","-0.40%"
"Aug 13, 2020","916.77","927.75","929.35","915.42","-","-1.16%"
"Aug 12, 2020","927.53","929.35","934.39","918.60","-","-0.17%"
"Aug 11, 2020","929.08","915.09","935.65","915.09","-","1.55%"
"Aug 10, 2020","914.89","907.35","919.86","907.35","-","0.84%"
"Aug 07, 2020","907.26","908.06","909.24","902.44","-","0.08%"
"Aug 06, 2020","906.52","907.06","908.61","901.77","-","0.01%"
"Aug 05, 2020","906.41","897.80","906.89","897.80","-","0.96%"
"Aug 04, 2020","897.77","892.27","906.66","892.27","-","0.63%"
"Aug 03, 2020","892.18","882.67","898.96","881.34","-","1.08%"
"Jul 31, 2020","882.67","876.90","897.11","875.04","-","0.65%"
"Jul 30, 2020","876.94","904.10","907.48","876.70","-","-3.00%"
"Jul 29, 2020","904.10","909.42","912.14","902.01","-","-0.58%"
"Jul 28, 2020","909.42","914.40","919.92","909.27","-","-0.50%"
"Jul 27, 2020","914.02","915.74","920.50","912.26","-","-0.20%"
"Jul 24, 2020","915.87","934.67","934.67","914.77","-","-1.95%"
"Jul 23, 2020","934.07","944.08","947.36","934.07","-","-1.06%"
"Jul 22, 2020","944.08","950.80","953.61","938.75","-","-0.71%"
"Jul 21, 2020","950.80","952.85","963.12","949.96","-","-0.22%"
"Jul 20, 2020","952.85","949.05","952.92","944.70","-","0.40%"
"Jul 17, 2020","949.03","948.34","950.85","945.43","-","-0.01%"
"Jul 16, 2020","949.09","947.44","951.79","945.13","-","0.10%"
"Jul 15, 2020","948.11","937.40","953.61","937.40","-","1.10%"
"Jul 14, 2020","937.84","950.60","950.60","933.38","-","-1.54%"
"Jul 13, 2020","952.47","942.48","955.06","942.48","-","1.14%"
"Jul 10, 2020","941.73","945.32","945.52","932.96","-","-0.41%"
"Jul 09, 2020","945.58","940.53","947.76","939.13","-","0.72%"
"Jul 08, 2020","938.85","937.15","943.29","934.65","-","0.22%"
"Jul 07, 2020","936.79","937.98","949.17","935.60","-","-0.13%"
"Jul 03, 2020","938.00","938.50","940.92","929.15","-","-0.05%"
"Jul 02, 2020","938.45","924.88","941.69","917.04","-","1.59%"
"Jul 01, 2020","923.72","918.00","925.88","916.19","-","0.62%"
"Jun 30, 2020","918.00","925.42","927.10","915.38","-","-0.72%"
"Jun 29, 2020","924.68","920.23","926.30","918.73","-","0.41%"
"Jun 26, 2020","920.88","917.79","928.05","917.79","-","0.34%"
"Jun 25, 2020","917.79","915.57","921.03","904.38","-","-0.17%"
"Jun 24, 2020","919.31","933.78","936.78","917.91","-","-1.49%"
"Jun 23, 2020","933.25","926.42","937.52","926.42","-","0.66%"
"Jun 22, 2020","927.12","928.59","930.85","922.82","-","-0.09%"
"Jun 19, 2020","927.97","928.35","939.84","926.56","-","-0.03%"
"Jun 18, 2020","928.28","932.29","937.68","926.96","-","-0.55%"
"Jun 17, 2020","933.41","946.80","947.70","932.45","-","-1.37%"
"Jun 16, 2020","946.35","923.97","949.28","923.88","-","2.51%"
